Model,AUC,AP
GCN,0.9722222222222223,0.976190476190476
GCN,0.6326530612244897,0.5804421768707482
GCN,0.6326530612244898,0.6971611721611721
GCN,0.6296296296296297,0.6238095238095238
GCN,0.6944444444444444,0.6496031746031746
GAT,0.75,0.829004329004329
GAT,0.4897959183673469,0.6095238095238095
GAT,0.7551020408163265,0.6853741496598639
GAT,0.9753086419753085,0.9765432098765432
GAT,0.5972222222222223,0.6696127946127947
SAGE,1.0,1.0
SAGE,0.6530612244897959,0.604251700680272
SAGE,0.9387755102040817,0.9379251700680271
SAGE,0.7283950617283951,0.735989935989936
SAGE,0.8055555555555556,0.8305555555555555
